site,date,Strata,j.roemerianus,s.alterniflora,s.patens,s.sempervirens,p.odorata,b.robustus,t.latifolia,a.glomeratus,unid1
2007,16-Sep,J,78,0,0,0,0,0,0,0,0
2007,16-Sep,NC,0,0,0,0,0,0,0,12,0
2015,16-Sep,J,58,0,0,0,0,0,0,0,0
2015,16-Sep,NC,0,6,0,0,0,0,0,0,0
2013,16-Sep,HP,32,0,0,1,0,0,0,0,1
2015,23-Sep,J,29,0,0,0,12,0,0,0,0
2015,23-Sep,NC,0,5,0,24,0,0,0,0,0
2007,23-Sep,J,36,0,0,0,1,0,0,0,0
2007,23-Sep,NC,0,2,87,0,0,0,0,0,0
2013,23-Sep,HP,0,5,0,0,0,0,0,0,0
2013,23-Sep,HP,0,1,0,0,0,1,0,0,0
2013,30-Sep,HP,0,5,0,0,0,0,12,0,0
2013,30-Sep,HP,0,6,0,0,0,0,4,0,0
2015,30-Sep,J,52,0,0,0,2,0,0,0,0
2015,30-Sep,NC,3,17,0,0,0,0,0,0,0
2007,30-Sep,J,29,0,0,0,0,0,0,0,0
2007,30-Sep,NC,0,9,5,0,0,0,0,0,0
2007,6-Oct,J,27,0,14,0,0,0,0,0,0
2007,6-Oct,NC,0,7,0,0,0,0,0,0,0
2013,6-Oct,HP,0,3,0,0,0,0,1,0,0
2013,6-Oct,HP,0,0,0,0,0,6,0,0,0
2015,6-Oct,NC,0,2,0,1,5,0,0,0,0
2015,6-Oct,J,32,0,0,0,1,0,0,0,1
2013,14-Oct,HP,0,0,0,0,0,0,2,0,0
2013,14-Oct,HP,0,0,0,0,0,0,4,0,0
2015,14-Oct,J,17,0,0,0,0,0,0,0,0
2015,14-Oct,NC,2,8,0,0,0,0,0,0,0
2007,14-Oct,J,1,25,50,0,0,0,0,0,0
2007,14-Oct,NC,4,2,40,0,1,0,0,0,0
